X.TCGA.A1.A0SE.01A.	X.TCGA.BRCA.	X.0.7979.
TCGA-BA-5556-01A	TCGA-HNSC	0,5156
TCGA-BA-5557-01A	TCGA-HNSC	0,399
TCGA-BA-5558-01A	TCGA-HNSC	0,6303
TCGA-BA-5559-01A	TCGA-HNSC	0,6862
TCGA-BA-6868-01A	TCGA-HNSC	NA
TCGA-BA-6869-01A	TCGA-HNSC	0,7758
TCGA-BA-6870-01A	TCGA-HNSC	0,5002
TCGA-BA-6871-01A	TCGA-HNSC	0,817
TCGA-BA-6872-01A	TCGA-HNSC	0,7247
TCGA-BA-6873-01A	TCGA-HNSC	0,7092
TCGA-BA-7269-01A	TCGA-HNSC	0,7917
TCGA-BA-A6D8-01A	TCGA-HNSC	0,7913
TCGA-BA-A6DA-01A	TCGA-HNSC	0,6573
TCGA-BA-A6DB-01A	TCGA-HNSC	0,5511
TCGA-BA-A6DD-01A	TCGA-HNSC	0,6923
TCGA-BA-A6DE-01A	TCGA-HNSC	0,7913
TCGA-BA-A6DF-01A	TCGA-HNSC	0,5939
TCGA-BA-A6DG-01A	TCGA-HNSC	0,5421
TCGA-BA-A6DI-01A	TCGA-HNSC	0,8806
TCGA-BA-A6DJ-01A	TCGA-HNSC	0,7476
TCGA-BA-A6DL-01A	TCGA-HNSC	0,9253
TCGA-BA-A8YP-01A	TCGA-HNSC	0,7749
TCGA-BB-4217-01A	TCGA-HNSC	0,3242
TCGA-BB-4223-01A	TCGA-HNSC	0,7473
TCGA-BB-4224-01A	TCGA-HNSC	0,8356
TCGA-BB-4225-01A	TCGA-HNSC	0,7352
TCGA-BB-4227-01A	TCGA-HNSC	0,8174
TCGA-BB-4228-01A	TCGA-HNSC	0,8361
TCGA-BB-7861-01A	TCGA-HNSC	0,4742
TCGA-BB-7862-01A	TCGA-HNSC	0,8202
TCGA-BB-7863-01A	TCGA-HNSC	0,7013
TCGA-BB-7864-01A	TCGA-HNSC	0,7138
TCGA-BB-7866-01A	TCGA-HNSC	0,7337
TCGA-BB-7870-01A	TCGA-HNSC	0,8259
TCGA-BB-7871-01A	TCGA-HNSC	0,7262
TCGA-BB-7872-01A	TCGA-HNSC	0,6355
TCGA-BB-8596-01A	TCGA-HNSC	0,6137
TCGA-BB-8601-01A	TCGA-HNSC	0,9776
TCGA-BB-A5HU-01A	TCGA-HNSC	0,6573
TCGA-BB-A5HY-01A	TCGA-HNSC	0,6533
TCGA-BB-A5HZ-01A	TCGA-HNSC	0,7153
TCGA-BB-A6UM-01A	TCGA-HNSC	0,7913
TCGA-BB-A6UO-01A	TCGA-HNSC	0,7032
TCGA-C9-A47Z-01A	TCGA-HNSC	0,7913
TCGA-C9-A480-01A	TCGA-HNSC	0,7466
TCGA-CN-4722-01A	TCGA-HNSC	0,5697
TCGA-CN-4723-01A	TCGA-HNSC	0,6592
TCGA-CN-4725-01A	TCGA-HNSC	0,7666
TCGA-CN-4726-01A	TCGA-HNSC	0,6244
TCGA-CN-4727-01A	TCGA-HNSC	0,7223
TCGA-CN-4728-01A	TCGA-HNSC	0,4734
TCGA-CN-4729-01A	TCGA-HNSC	0,6617
TCGA-CN-4730-01A	TCGA-HNSC	0,6153
TCGA-CN-4731-01A	TCGA-HNSC	0,7358
TCGA-CN-4733-01A	TCGA-HNSC	0,2795
TCGA-CN-4734-01A	TCGA-HNSC	0,6282
TCGA-CN-4735-01A	TCGA-HNSC	0,6546
TCGA-CN-4736-01A	TCGA-HNSC	0,4891
TCGA-CN-4737-01A	TCGA-HNSC	0,6941
TCGA-CN-4738-01A	TCGA-HNSC	0,5833
TCGA-CN-4739-01A	TCGA-HNSC	0,5842
TCGA-CN-4740-01A	TCGA-HNSC	0,4104
TCGA-CN-4741-01A	TCGA-HNSC	0,869
TCGA-CN-4742-01A	TCGA-HNSC	0,5663
TCGA-CN-5355-01A	TCGA-HNSC	0,6654
TCGA-CN-5356-01A	TCGA-HNSC	0,6448
TCGA-CN-5358-01A	TCGA-HNSC	0,5271
TCGA-CN-5359-01A	TCGA-HNSC	0,4169
TCGA-CN-5360-01A	TCGA-HNSC	0,6051
TCGA-CN-5361-01A	TCGA-HNSC	0,6836
TCGA-CN-5363-01A	TCGA-HNSC	0,6496
TCGA-CN-5364-01A	TCGA-HNSC	0,6783
TCGA-CN-5365-01A	TCGA-HNSC	0,6573
TCGA-CN-5366-01A	TCGA-HNSC	0,6571
TCGA-CN-5367-01A	TCGA-HNSC	0,6723
TCGA-CN-5369-01A	TCGA-HNSC	0,4301
TCGA-CN-5373-01A	TCGA-HNSC	0,5956
TCGA-CN-5374-01A	TCGA-HNSC	0,6817
TCGA-CN-6010-01A	TCGA-HNSC	0,7581
TCGA-CN-6011-01A	TCGA-HNSC	0,8154
TCGA-CN-6012-01A	TCGA-HNSC	0,7367
TCGA-CN-6013-01A	TCGA-HNSC	0,5881
TCGA-CN-6016-01A	TCGA-HNSC	0,5704
TCGA-CN-6017-01A	TCGA-HNSC	0,3034
TCGA-CN-6018-01A	TCGA-HNSC	0,5406
TCGA-CN-6019-01A	TCGA-HNSC	0,5361
TCGA-CN-6020-01A	TCGA-HNSC	0,6348
TCGA-CN-6021-01A	TCGA-HNSC	0,6823
TCGA-CN-6022-01A	TCGA-HNSC	0,5588
TCGA-CN-6023-01A	TCGA-HNSC	0,6406
TCGA-CN-6024-01A	TCGA-HNSC	0,8109
TCGA-CN-6988-01A	TCGA-HNSC	0,8421
TCGA-CN-6989-01A	TCGA-HNSC	0,607
TCGA-CN-6992-01A	TCGA-HNSC	0,7872
TCGA-CN-6994-01A	TCGA-HNSC	0,7647
TCGA-CN-6996-01A	TCGA-HNSC	0,5507
TCGA-CN-6997-01A	TCGA-HNSC	0,8639
TCGA-CN-6998-01A	TCGA-HNSC	0,7188
TCGA-CN-A63T-01A	TCGA-HNSC	0,6573
TCGA-CN-A63U-01A	TCGA-HNSC	0,961
TCGA-CN-A63V-01A	TCGA-HNSC	0,6159
TCGA-CN-A63W-01A	TCGA-HNSC	0,9043
TCGA-CN-A63Y-01A	TCGA-HNSC	0,5863
TCGA-CN-A640-01A	TCGA-HNSC	0,6411
TCGA-CN-A641-01A	TCGA-HNSC	0,8806
TCGA-CN-A642-01A	TCGA-HNSC	0,7019
TCGA-CQ-5323-01A	TCGA-HNSC	0,7773
TCGA-CQ-5324-01A	TCGA-HNSC	0,785
TCGA-CQ-5325-01A	TCGA-HNSC	0,3776
TCGA-CQ-5326-01A	TCGA-HNSC	0,5896
TCGA-CQ-5329-01A	TCGA-HNSC	0,6857
TCGA-CQ-5330-01A	TCGA-HNSC	0,599
TCGA-CQ-5331-01A	TCGA-HNSC	0,5044
TCGA-CQ-5332-01A	TCGA-HNSC	0,8518
TCGA-CQ-5333-01A	TCGA-HNSC	0,4879
TCGA-CQ-5334-01A	TCGA-HNSC	0,5455
TCGA-CQ-6218-01A	TCGA-HNSC	0,7068
TCGA-CQ-6219-01A	TCGA-HNSC	0,5491
TCGA-CQ-6220-01A	TCGA-HNSC	0,6594
TCGA-CQ-6222-01A	TCGA-HNSC	0,5678
TCGA-CQ-6223-01A	TCGA-HNSC	0,7286
TCGA-CQ-6224-01A	TCGA-HNSC	0,5956
TCGA-CQ-6225-01A	TCGA-HNSC	0,8882
TCGA-CQ-6227-01A	TCGA-HNSC	0,6408
TCGA-CQ-6228-01A	TCGA-HNSC	0,812
TCGA-CQ-6229-01A	TCGA-HNSC	0,5972
TCGA-CQ-7063-01A	TCGA-HNSC	0,5819
TCGA-CQ-7064-01A	TCGA-HNSC	0,5716
TCGA-CQ-7065-01A	TCGA-HNSC	0,874
TCGA-CQ-7067-01A	TCGA-HNSC	0,6681
TCGA-CQ-7068-01A	TCGA-HNSC	0,7154
TCGA-CQ-7069-01A	TCGA-HNSC	0,6701
TCGA-CQ-7071-01A	TCGA-HNSC	0,7129
TCGA-CQ-7072-01A	TCGA-HNSC	0,7186
TCGA-CQ-A4C6-01A	TCGA-HNSC	0,6573
TCGA-CQ-A4C7-01A	TCGA-HNSC	0,7502
TCGA-CQ-A4C9-01A	TCGA-HNSC	0,6615
TCGA-CQ-A4CA-01A	TCGA-HNSC	0,5824
TCGA-CQ-A4CB-01A	TCGA-HNSC	0,6303
TCGA-CQ-A4CD-01A	TCGA-HNSC	0,7019
TCGA-CQ-A4CE-01A	TCGA-HNSC	0,7019
TCGA-CQ-A4CG-01A	TCGA-HNSC	0,8337
TCGA-CQ-A4CH-01A	TCGA-HNSC	0,7466
TCGA-CQ-A4CI-01A	TCGA-HNSC	0,8828
TCGA-CV-5430-01A	TCGA-HNSC	0,7151
TCGA-CV-5431-01A	TCGA-HNSC	0,5022
TCGA-CV-5432-01A	TCGA-HNSC	0,6922
TCGA-CV-5434-01A	TCGA-HNSC	0,7074
TCGA-CV-5435-01A	TCGA-HNSC	0,8554
TCGA-CV-5436-01A	TCGA-HNSC	0,7995
TCGA-CV-5439-01A	TCGA-HNSC	0,7443
TCGA-CV-5440-01A	TCGA-HNSC	0,8184
TCGA-CV-5441-01A	TCGA-HNSC	0,6952
TCGA-CV-5442-01A	TCGA-HNSC	0,8333
TCGA-CV-5443-01A	TCGA-HNSC	0,6664
TCGA-CV-5444-01A	TCGA-HNSC	0,4283
TCGA-CV-5966-01A	TCGA-HNSC	0,5638
TCGA-CV-5970-01A	TCGA-HNSC	0,7014
TCGA-CV-5971-01A	TCGA-HNSC	0,4156
TCGA-CV-5973-01A	TCGA-HNSC	0,809
TCGA-CV-5976-01A	TCGA-HNSC	0,6939
TCGA-CV-5977-01A	TCGA-HNSC	0,8089
TCGA-CV-5978-01A	TCGA-HNSC	0,5233
TCGA-CV-5979-01A	TCGA-HNSC	0,8745
TCGA-CV-6003-01A	TCGA-HNSC	0,7365
TCGA-CV-6433-01A	TCGA-HNSC	0,774
TCGA-CV-6436-01A	TCGA-HNSC	0,5415
TCGA-CV-6441-01A	TCGA-HNSC	0,8463
TCGA-CV-6933-01A	TCGA-HNSC	0,6607
TCGA-CV-6934-01A	TCGA-HNSC	0,5649
TCGA-CV-6935-01A	TCGA-HNSC	0,8595
TCGA-CV-6936-01A	TCGA-HNSC	0,7775
TCGA-CV-6937-01A	TCGA-HNSC	0,6484
TCGA-CV-6938-01A	TCGA-HNSC	0,5011
TCGA-CV-6939-01A	TCGA-HNSC	0,6258
TCGA-CV-6940-01A	TCGA-HNSC	0,8201
TCGA-CV-6941-01A	TCGA-HNSC	0,6266
TCGA-CV-6942-01A	TCGA-HNSC	0,568
TCGA-CV-6943-01A	TCGA-HNSC	0,3333
TCGA-CV-6945-01A	TCGA-HNSC	0,7415
TCGA-CV-6948-01A	TCGA-HNSC	0,8419
TCGA-CV-6950-01A	TCGA-HNSC	0,7027
TCGA-CV-6951-01A	TCGA-HNSC	0,8205
TCGA-CV-6952-01A	TCGA-HNSC	0,7229
TCGA-CV-6953-01A	TCGA-HNSC	0,5896
TCGA-CV-6954-01A	TCGA-HNSC	0,5531
TCGA-CV-6955-01A	TCGA-HNSC	0,7466
TCGA-CV-6956-01A	TCGA-HNSC	0,7155
TCGA-CV-6959-01A	TCGA-HNSC	0,6355
TCGA-CV-6960-01A	TCGA-HNSC	0,7054
TCGA-CV-6961-01A	TCGA-HNSC	0,7387
TCGA-CV-6962-01A	TCGA-HNSC	0,8456
TCGA-CV-7089-01A	TCGA-HNSC	0,6801
TCGA-CV-7090-01A	TCGA-HNSC	0,56
TCGA-CV-7091-01A	TCGA-HNSC	0,6458
TCGA-CV-7095-01A	TCGA-HNSC	0,6661
TCGA-CV-7097-01A	TCGA-HNSC	0,6835
TCGA-CV-7099-01A	TCGA-HNSC	0,744
TCGA-CV-7100-01A	TCGA-HNSC	0,7305
TCGA-CV-7101-01A	TCGA-HNSC	0,6679
TCGA-CV-7102-01A	TCGA-HNSC	0,641
TCGA-CV-7103-01A	TCGA-HNSC	0,7268
TCGA-CV-7104-01A	TCGA-HNSC	0,6532
TCGA-CV-7177-01A	TCGA-HNSC	0,7758
TCGA-CV-7178-01A	TCGA-HNSC	0,5904
TCGA-CV-7180-01A	TCGA-HNSC	0,6014
TCGA-CV-7183-01A	TCGA-HNSC	0,6475
TCGA-CV-7235-01A	TCGA-HNSC	0,6818
TCGA-CV-7236-01A	TCGA-HNSC	0,5914
TCGA-CV-7238-01A	TCGA-HNSC	0,544
TCGA-CV-7242-01A	TCGA-HNSC	0,7189
TCGA-CV-7243-01A	TCGA-HNSC	0,7192
TCGA-CV-7245-01A	TCGA-HNSC	0,7534
TCGA-CV-7247-01A	TCGA-HNSC	0,7588
TCGA-CV-7248-01A	TCGA-HNSC	0,588
TCGA-CV-7250-01A	TCGA-HNSC	0,7451
TCGA-CV-7252-01A	TCGA-HNSC	0,6153
TCGA-CV-7253-01A	TCGA-HNSC	0,9404
TCGA-CV-7254-01A	TCGA-HNSC	0,5749
TCGA-CV-7255-01A	TCGA-HNSC	0,7697
TCGA-CV-7261-01A	TCGA-HNSC	0,7092
TCGA-CV-7263-01A	TCGA-HNSC	0,5422
TCGA-CV-7406-01A	TCGA-HNSC	0,7392
TCGA-CV-7407-01A	TCGA-HNSC	0,6278
TCGA-CV-7409-01A	TCGA-HNSC	0,7413
TCGA-CV-7410-01A	TCGA-HNSC	0,3888
TCGA-CV-7411-01A	TCGA-HNSC	0,6196
TCGA-CV-7413-01A	TCGA-HNSC	0,6189
TCGA-CV-7414-01A	TCGA-HNSC	0,8415
TCGA-CV-7415-01A	TCGA-HNSC	0,6276
TCGA-CV-7416-01A	TCGA-HNSC	0,7443
TCGA-CV-7418-01A	TCGA-HNSC	0,8646
TCGA-CV-7421-01A	TCGA-HNSC	0,6382
TCGA-CV-7422-01A	TCGA-HNSC	0,5695
TCGA-CV-7423-01A	TCGA-HNSC	0,7565
TCGA-CV-7424-01A	TCGA-HNSC	0,7108
TCGA-CV-7425-01A	TCGA-HNSC	0,6275
TCGA-CV-7427-01A	TCGA-HNSC	0,6407
TCGA-CV-7428-01A	TCGA-HNSC	0,7328
TCGA-CV-7429-01A	TCGA-HNSC	0,6407
TCGA-CV-7430-01A	TCGA-HNSC	0,8597
TCGA-CV-7432-01A	TCGA-HNSC	0,7792
TCGA-CV-7433-01A	TCGA-HNSC	0,4405
TCGA-CV-7434-01A	TCGA-HNSC	0,8074
TCGA-CV-7435-01A	TCGA-HNSC	0,5335
TCGA-CV-7437-01A	TCGA-HNSC	0,7792
TCGA-CV-7438-01A	TCGA-HNSC	0,66
TCGA-CV-7440-01A	TCGA-HNSC	0,6011
TCGA-CV-7446-01A	TCGA-HNSC	0,8474
TCGA-CV-7568-01A	TCGA-HNSC	0,6126
TCGA-CV-A45O-01A	TCGA-HNSC	0,7774
TCGA-CV-A45P-01A	TCGA-HNSC	0,6923
TCGA-CV-A45Q-01A	TCGA-HNSC	0,6463
TCGA-CV-A45R-01A	TCGA-HNSC	0,7163
TCGA-CV-A45T-01A	TCGA-HNSC	0,4288
TCGA-CV-A45U-01A	TCGA-HNSC	0,7913
TCGA-CV-A45V-01A	TCGA-HNSC	0,6123
TCGA-CV-A45W-01A	TCGA-HNSC	0,6507
TCGA-CV-A45X-01A	TCGA-HNSC	0,7282
TCGA-CV-A45Y-01A	TCGA-HNSC	0,5382
TCGA-CV-A45Z-01A	TCGA-HNSC	0,6592
TCGA-CV-A460-01A	TCGA-HNSC	0,6015
TCGA-CV-A461-01A	TCGA-HNSC	0,6405
TCGA-CV-A463-01A	TCGA-HNSC	0,836
TCGA-CV-A464-01A	TCGA-HNSC	0,6573
TCGA-CV-A465-01A	TCGA-HNSC	0,7913
TCGA-CV-A468-01A	TCGA-HNSC	0,4677
TCGA-CV-A6JD-01A	TCGA-HNSC	0,6468
TCGA-CV-A6JE-01A	TCGA-HNSC	0,6713
TCGA-CV-A6JM-01A	TCGA-HNSC	0,8391
TCGA-CV-A6JN-01A	TCGA-HNSC	0,6573
TCGA-CV-A6JO-01A	TCGA-HNSC	NA
TCGA-CV-A6JT-01A	TCGA-HNSC	0,6817
TCGA-CV-A6JU-01A	TCGA-HNSC	0,7466
TCGA-CV-A6JY-01A	TCGA-HNSC	0,7466
TCGA-CV-A6JZ-01A	TCGA-HNSC	0,4941
TCGA-CV-A6K0-01A	TCGA-HNSC	NA
TCGA-CV-A6K1-01A	TCGA-HNSC	0,7019
TCGA-CV-A6K2-01A	TCGA-HNSC	0,6596
TCGA-CX-7082-01A	TCGA-HNSC	0,7161
TCGA-CX-7085-01A	TCGA-HNSC	0,3336
TCGA-CX-7086-01A	TCGA-HNSC	0,8171
TCGA-CX-7219-01A	TCGA-HNSC	0,6096
TCGA-CX-A4AQ-01A	TCGA-HNSC	0,7004
TCGA-D6-6515-01A	TCGA-HNSC	0,395
TCGA-D6-6515-01A	TCGA-HNSC	0,395
TCGA-D6-6516-01A	TCGA-HNSC	0,6988
TCGA-D6-6516-01A	TCGA-HNSC	0,6988
TCGA-D6-6517-01A	TCGA-HNSC	0,6256
TCGA-D6-6517-01A	TCGA-HNSC	0,6256
TCGA-D6-6823-01A	TCGA-HNSC	0,7016
TCGA-D6-6823-01A	TCGA-HNSC	0,7016
TCGA-D6-6824-01A	TCGA-HNSC	0,5612
TCGA-D6-6824-01A	TCGA-HNSC	0,5612
TCGA-D6-6825-01A	TCGA-HNSC	0,5428
TCGA-D6-6825-01A	TCGA-HNSC	0,5428
TCGA-D6-6826-01A	TCGA-HNSC	0,5399
TCGA-D6-6826-01A	TCGA-HNSC	0,5399
TCGA-D6-6827-01A	TCGA-HNSC	0,8697
TCGA-D6-6827-01A	TCGA-HNSC	0,8697
TCGA-D6-8568-01A	TCGA-HNSC	0,7092
TCGA-D6-8568-01A	TCGA-HNSC	0,7092
TCGA-D6-8569-01A	TCGA-HNSC	0,7823
TCGA-D6-8569-01A	TCGA-HNSC	0,7823
TCGA-D6-A4Z9-01A	TCGA-HNSC	0,7243
TCGA-D6-A4ZB-01A	TCGA-HNSC	0,6441
TCGA-D6-A6EK-01A	TCGA-HNSC	0,6928
TCGA-D6-A6EM-01A	TCGA-HNSC	0,6126
TCGA-D6-A6EN-01A	TCGA-HNSC	0,6126
TCGA-D6-A6EO-01A	TCGA-HNSC	0,9227
TCGA-D6-A6EP-01A	TCGA-HNSC	0,8249
TCGA-D6-A6EQ-01A	TCGA-HNSC	0,679
TCGA-D6-A6ES-01A	TCGA-HNSC	0,841
TCGA-D6-A74Q-01A	TCGA-HNSC	0,7913
TCGA-DQ-5624-01A	TCGA-HNSC	0,6708
TCGA-DQ-5625-01A	TCGA-HNSC	0,6083
TCGA-DQ-5629-01A	TCGA-HNSC	0,7548
TCGA-DQ-5630-01A	TCGA-HNSC	0,5254
TCGA-DQ-5631-01A	TCGA-HNSC	0,7941
TCGA-DQ-7588-01A	TCGA-HNSC	0,6942
TCGA-DQ-7589-01A	TCGA-HNSC	0,8506
TCGA-DQ-7590-01A	TCGA-HNSC	0,5904
TCGA-DQ-7591-01A	TCGA-HNSC	0,7646
TCGA-DQ-7592-01A	TCGA-HNSC	0,6533
TCGA-DQ-7593-01A	TCGA-HNSC	0,5674
TCGA-DQ-7594-01A	TCGA-HNSC	0,6275
TCGA-DQ-7594-01A	TCGA-HNSC	0,6275
TCGA-DQ-7595-01A	TCGA-HNSC	0,6563
TCGA-DQ-7596-01A	TCGA-HNSC	0,69
TCGA-F7-7848-01A	TCGA-HNSC	0,6357
TCGA-F7-8298-01A	TCGA-HNSC	0,8047
TCGA-F7-8489-01A	TCGA-HNSC	0,6751
TCGA-F7-A50G-01A	TCGA-HNSC	0,7116
TCGA-F7-A50I-01A	TCGA-HNSC	0,7019
TCGA-F7-A50J-01A	TCGA-HNSC	0,6126
TCGA-F7-A61S-01A	TCGA-HNSC	0,6215
TCGA-F7-A61V-01A	TCGA-HNSC	0,6573
TCGA-F7-A61W-01A	TCGA-HNSC	0,7949
TCGA-F7-A620-01A	TCGA-HNSC	0,6879
TCGA-F7-A622-01A	TCGA-HNSC	0,7913
TCGA-F7-A623-01A	TCGA-HNSC	0,6126
TCGA-F7-A624-01A	TCGA-HNSC	0,5792
TCGA-H7-A6C4-01A	TCGA-HNSC	0,7762
TCGA-H7-A6C5-01A	TCGA-HNSC	0,6525
TCGA-H7-A76A-01A	TCGA-HNSC	0,3732
TCGA-HD-7229-01A	TCGA-HNSC	0,7521
TCGA-HD-7753-01A	TCGA-HNSC	0,7591
TCGA-HD-7754-01A	TCGA-HNSC	0,7302
TCGA-HD-7831-01A	TCGA-HNSC	0,6235
TCGA-HD-7832-01A	TCGA-HNSC	0,7827
TCGA-HD-7917-01A	TCGA-HNSC	0,7582
TCGA-HD-8224-01A	TCGA-HNSC	0,7315
TCGA-HD-8314-01A	TCGA-HNSC	0,7466
TCGA-HD-8634-01A	TCGA-HNSC	0,6435
TCGA-HD-8635-01A	TCGA-HNSC	0,6291
TCGA-HD-A4C1-01A	TCGA-HNSC	0,716
TCGA-HD-A633-01A	TCGA-HNSC	0,6796
TCGA-HD-A634-01A	TCGA-HNSC	0,7913
TCGA-HD-A6HZ-01A	TCGA-HNSC	0,6081
TCGA-HD-A6I0-01A	TCGA-HNSC	0,7449
TCGA-HL-7533-01A	TCGA-HNSC	0,6929
TCGA-IQ-7630-01A	TCGA-HNSC	0,7297
TCGA-IQ-7631-01A	TCGA-HNSC	0,7725
TCGA-IQ-7632-01A	TCGA-HNSC	0,5942
TCGA-IQ-A61E-01A	TCGA-HNSC	0,7893
TCGA-IQ-A61G-01A	TCGA-HNSC	0,7913
TCGA-IQ-A61H-01A	TCGA-HNSC	0,7913
TCGA-IQ-A61I-01A	TCGA-HNSC	0,7195
TCGA-IQ-A61J-01A	TCGA-HNSC	0,7146
TCGA-IQ-A61K-01A	TCGA-HNSC	0,7655
TCGA-IQ-A61L-01A	TCGA-HNSC	0,629
TCGA-IQ-A61O-01A	TCGA-HNSC	0,6849
TCGA-IQ-A6SG-01A	TCGA-HNSC	0,7913
TCGA-IQ-A6SH-01A	TCGA-HNSC	0,7554
TCGA-KU-A66S-01A	TCGA-HNSC	0,7019
TCGA-KU-A66T-01A	TCGA-HNSC	0,7913
TCGA-KU-A6H7-01A	TCGA-HNSC	NaN
TCGA-KU-A6H8-01A	TCGA-HNSC	0,7721
TCGA-MT-A51W-01A	TCGA-HNSC	0,6573
TCGA-MT-A51X-01A	TCGA-HNSC	0,6126
TCGA-MT-A67A-01A	TCGA-HNSC	0,7913
TCGA-MT-A67D-01A	TCGA-HNSC	0,7098
TCGA-MT-A67F-01A	TCGA-HNSC	0,4473
TCGA-MT-A67G-01A	TCGA-HNSC	0,7806
TCGA-MT-A7BN-01A	TCGA-HNSC	0,6306
TCGA-MZ-A6I9-01A	TCGA-HNSC	0,7466
TCGA-MZ-A7D7-01A	TCGA-HNSC	0,775
TCGA-P3-A5Q5-01A	TCGA-HNSC	0,5165
TCGA-P3-A5Q6-01A	TCGA-HNSC	0,7417
TCGA-P3-A5QA-01A	TCGA-HNSC	0,6573
TCGA-P3-A5QE-01A	TCGA-HNSC	0,6573
TCGA-P3-A5QF-01A	TCGA-HNSC	0,6697
TCGA-P3-A6SW-01A	TCGA-HNSC	0,7526
TCGA-P3-A6SX-01A	TCGA-HNSC	0,7347
TCGA-P3-A6T0-01A	TCGA-HNSC	0,7489
TCGA-P3-A6T2-01A	TCGA-HNSC	0,7715
TCGA-P3-A6T3-01A	TCGA-HNSC	0,7019
TCGA-P3-A6T4-01A	TCGA-HNSC	0,9044
TCGA-P3-A6T5-01A	TCGA-HNSC	0,7419
TCGA-P3-A6T6-01A	TCGA-HNSC	0,8806
TCGA-P3-A6T7-01A	TCGA-HNSC	0,7019
TCGA-P3-A6T8-01A	TCGA-HNSC	0,7466
TCGA-QK-A64Z-01A	TCGA-HNSC	0,8406
TCGA-QK-A64Z-01A	TCGA-HNSC	0,8406
TCGA-QK-A64Z-01A	TCGA-HNSC	0,8406
TCGA-QK-A64Z-01A	TCGA-HNSC	0,8406
TCGA-QK-A652-01A	TCGA-HNSC	0,7344
TCGA-QK-A6IF-01A	TCGA-HNSC	0,7634
TCGA-QK-A6IF-01A	TCGA-HNSC	0,7634
TCGA-QK-A6IG-01A	TCGA-HNSC	0,5704
TCGA-QK-A6IH-01A	TCGA-HNSC	0,6573
TCGA-QK-A6II-01A	TCGA-HNSC	0,6126
TCGA-QK-A6IJ-01A	TCGA-HNSC	0,7466
TCGA-QK-A6V9-01A	TCGA-HNSC	0,7913
TCGA-QK-A6VB-01A	TCGA-HNSC	0,7913
TCGA-QK-A6VC-01A	TCGA-HNSC	0,7031
TCGA-QK-A8Z7-01A	TCGA-HNSC	0,7913
TCGA-QK-A8Z8-01A	TCGA-HNSC	0,7466
TCGA-QK-A8Z8-01A	TCGA-HNSC	0,7466
TCGA-QK-A8Z9-01A	TCGA-HNSC	NA
TCGA-QK-A8ZA-01A	TCGA-HNSC	0,7884
TCGA-QK-A8ZB-01A	TCGA-HNSC	0,7466
TCGA-QK-AA3J-01A	TCGA-HNSC	0,7913
TCGA-QK-AA3K-01A	TCGA-HNSC	0,5952
TCGA-RS-A6TO-01A	TCGA-HNSC	0,7487
TCGA-RS-A6TP-01A	TCGA-HNSC	0,7913
TCGA-T2-A6WX-01A	TCGA-HNSC	0,6467
TCGA-T2-A6WZ-01A	TCGA-HNSC	0,7466
TCGA-T2-A6X0-01A	TCGA-HNSC	0,7112
TCGA-T2-A6X2-01A	TCGA-HNSC	0,7244
TCGA-T3-A92M-01A	TCGA-HNSC	0,67
TCGA-T3-A92M-01A	TCGA-HNSC	0,67
TCGA-T3-A92M-01A	TCGA-HNSC	0,67
TCGA-T3-A92N-01A	TCGA-HNSC	0,7913
TCGA-T3-A92N-01A	TCGA-HNSC	0,7913
TCGA-T3-A92N-01A	TCGA-HNSC	0,7913
TCGA-TN-A7HI-01A	TCGA-HNSC	0,725
TCGA-TN-A7HJ-01A	TCGA-HNSC	0,6573
TCGA-TN-A7HL-01A	TCGA-HNSC	0,5606
TCGA-UF-A718-01A	TCGA-HNSC	0,6573
TCGA-UF-A719-01A	TCGA-HNSC	0,7466
TCGA-UF-A71A-01A	TCGA-HNSC	NaN
TCGA-UF-A71B-01A	TCGA-HNSC	0,6573
TCGA-UF-A71D-01A	TCGA-HNSC	0,7913
TCGA-UF-A71E-01A	TCGA-HNSC	0,8806
TCGA-UF-A7J9-01A	TCGA-HNSC	0,6964
TCGA-UF-A7JA-01A	TCGA-HNSC	0,8818
TCGA-UF-A7JC-01A	TCGA-HNSC	0,836
TCGA-UF-A7JD-01A	TCGA-HNSC	0,7019
TCGA-UF-A7JF-01A	TCGA-HNSC	0,6573
TCGA-UF-A7JH-01A	TCGA-HNSC	0,6126
TCGA-UF-A7JJ-01A	TCGA-HNSC	0,4415
TCGA-UF-A7JK-01A	TCGA-HNSC	0,8158
TCGA-UF-A7JO-01A	TCGA-HNSC	0,5897
TCGA-UF-A7JS-01A	TCGA-HNSC	0,6829
TCGA-UF-A7JT-01A	TCGA-HNSC	0,5323
TCGA-UF-A7JV-01A	TCGA-HNSC	0,6607
TCGA-WA-A7GZ-01A	TCGA-HNSC	0,7019
TCGA-WA-A7GZ-01A	TCGA-HNSC	0,7019
TCGA-WA-A7H4-01A	TCGA-HNSC	0,5609
TCGA-WA-A7H4-01A	TCGA-HNSC	0,5609
TCGA-KL-8323-01A	TCGA-KICH	0,9243
TCGA-KL-8324-01A	TCGA-KICH	0,9528
TCGA-KL-8325-01A	TCGA-KICH	0,8997
TCGA-KL-8326-01A	TCGA-KICH	0,9376
TCGA-KL-8327-01A	TCGA-KICH	0,8806
TCGA-KL-8328-01A	TCGA-KICH	0,9957
TCGA-KL-8329-01A	TCGA-KICH	0,8427
TCGA-KL-8330-01A	TCGA-KICH	0,9943
